,stimulation,population,feature,time,p.value,FDR
Unstim_Treg_ERK_V4b,Unstim,Treg,ERK,V4b,2.02E-06,0.00040902
Unstim_Tregmem_ERK_V4b,Unstim,Tregmem,ERK,V4b,2.53E-06,0.00040902
IL246_Th17_p38_V4a,IL246,Th17,p38,V4a,2.39E-05,0.05746102
IL246_Treg_p38_V4a,IL246,Treg,p38,V4a,0.000210508,0.177188751
IL246_CD56dimCD16pos-NK_p38_V4a,IL246,CD56dimCD16pos-NK,p38,V4a,0.000221025,0.177188751
IL246_CD4Tem_p38_V4a,IL246,CD4Tem,p38,V4a,0.000503332,0.200167215
IL246_Tregmem_p38_V4a,IL246,Tregmem,p38,V4a,0.000503332,0.200167215
IL246_CD4Tcm_p38_V4a,IL246,CD4Tcm,p38,V4a,0.000577964,0.200167215
IL246_CD4Tnaive_p38_V4a,IL246,CD4Tnaive,p38,V4a,0.000662413,0.200167215
IL246_Tregnaive_p38_V4a,IL246,Tregnaive,p38,V4a,0.00082809,0.200167215
IL246_CD8Trm_p38_V4a,IL246,CD8Trm,p38,V4a,0.000898696,0.200167215
PI_Bcells_pSTAT6_V4a,PI,Bcells,pSTAT6,V4a,0.000930172,0.200167215
TNFa_Eosino_p38_V4a,TNFa,Eosino,p38,V4a,0.000986239,0.200167215
IL246_Baso_p38_V4a,IL246,Baso,p38,V4a,0.00104243,0.200167215
IL246_NK-Tcells_p38_V4a,IL246,NK-Tcells,p38,V4a,0.001081985,0.200167215
PI_CD56dimCD16pos-NK_pSTAT6_V4a,PI,CD56dimCD16pos-NK,pSTAT6,V4a,0.001361556,0.231702929
IL246_CD56brightCD16neg-NK_p38_V4a,IL246,CD56brightCD16neg-NK,p38,V4a,0.001445133,0.231702929
Unstim_Tregmem_ERK_V5,Unstim,Tregmem,ERK,V5,0.001635802,0.302242224
Unstim_Treg_ERK_V5,Unstim,Treg,ERK,V5,0.001848576,0.302242224
LPS_pDC_ERK_V4a,LPS,pDC,ERK,V4a,0.002085591,0.295049778
Unstim_NK-Tcells_pSTAT6_V4a,Unstim,NK-Tcells,pSTAT6,V4a,0.002085591,0.295049778
IL1B_Th1_S6_V4a,IL1B,Th1,S6,V4a,0.00236356,0.310203146
