,Max Proba
gdT_pSTAT6_Unstim,0.423
NK-Tcells_pSTAT6_Unstim,0.4215
CD8Tcm_Frequency_Unstim,0.3725
CD8Tem_pSTAT6_Unstim,0.3485
Tregnaive_MAPKAPK2_Unstim,0.3435
intMC_Frequency_Unstim,0.336
Th1naive_STAT3_Unstim,0.3055
Baso +++_STAT5_Unstim,0.302
pDC_ERK_Unstim,0.2875
Th1_STAT5_Unstim,0.2675
Tregmem_ERK_Unstim,0.261
Th2_ERK_Unstim,0.246
Baso_STAT5_Unstim,0.2405
Th1naive_STAT5_Unstim,0.2205
Th1_pSTAT6_Unstim,0.2065
Treg_ERK_Unstim,0.206
Th1naive_MAPKAPK2_Unstim,0.2055
Baso +++_Frequency_Unstim,0.1985
Th2_CREB_Unstim,0.1955
CD4Tem_Frequency_Unstim,0.195
CD8Trm_pSTAT6_Unstim,0.1785
Eosino_ERK_Unstim,0.176
Th2_STAT5_Unstim,0.175
Tregnaive_S6_Unstim,0.173
Bcells_S6_Unstim,0.168
Baso_Frequency_Unstim,0.1635
CD4Trm_Frequency_Unstim,0.1575
Th1_p38_Unstim,0.1565
Th1mem_IkB_Unstim,0.154
Th1naive_p38_Unstim,0.149
Granulocytes_S6_Unstim,0.145
Th1mem_pSTAT6_Unstim,0.1435
Baso_MAPKAPK2_Unstim,0.143
gdT_ERK_Unstim,0.1425
CD4Trm_ERK_Unstim,0.1395
ncMC_Frequency_Unstim,0.139
mDC_S6_Unstim,0.1375
Th1mem_ERK_Unstim,0.1305
NK-Tcells_Frequency_Unstim,0.13
Th1_NFkB_Unstim,0.128
Bcells_Frequency_Unstim,0.126
MDSC_MAPKAPK2_Unstim,0.1235
CD56dimCD16pos-NK_Frequency_Unstim,0.123
CD4Tnaive_STAT3_Unstim,0.122
pDC_S6_Unstim,0.1195
Th1mem_p38_Unstim,0.118
Th1naive_pSTAT6_Unstim,0.118
Treg_STAT5_Unstim,0.1165
Th1_MAPKAPK2_Unstim,0.1165
CD8Tcm_ERK_Unstim,0.1165
Th1_IkB_Unstim,0.1135
intMC_ERK_Unstim,0.113
CD56brightCD16neg-NK_CREB_Unstim,0.111
Th1naive_ERK_Unstim,0.109
CD8Trm_ERK_Unstim,0.1085
CD4Trm_STAT5_Unstim,0.1045
CD56brightCD16neg-NK_Frequency_Unstim,0.104
Tregnaive_STAT5_Unstim,0.1035
Tregmem_STAT5_Unstim,0.1035
mDC_Frequency_Unstim,0.1025
Eosino_STAT5_Unstim,0.1025
CD8Trm_Frequency_Unstim,0.0995
Th1naive_NFkB_Unstim,0.0955
Th1_STAT3_Unstim,0.095
CD8Tcm_CREB_Unstim,0.094
MDSC_Frequency_Unstim,0.094
Th1_Frequency_Unstim,0.0915
CD8Tem_NFkB_Unstim,0.0895
NK-Tcells_NFkB_Unstim,0.089
CD8Tcm_pSTAT6_Unstim,0.088
Th1mem_STAT3_Unstim,0.0855
CD56brightCD16neg-NK_NFkB_Unstim,0.084
gdT_NFkB_Unstim,0.0835
Th1_ERK_Unstim,0.0815
CD8Tnaive_MAPKAPK2_Unstim,0.0805
Tregnaive_Frequency_Unstim,0.0795
Th1mem_S6_Unstim,0.077
Th2_Frequency_Unstim,0.0745
Th1mem_MAPKAPK2_Unstim,0.074
gdT_MAPKAPK2_Unstim,0.074
gdT_Frequency_Unstim,0.069
CD56brightCD16neg-NK_STAT5_Unstim,0.069
Th1mem_CREB_Unstim,0.067
Tregnaive_p38_Unstim,0.067
Th2_S6_Unstim,0.0665
Th1mem_STAT5_Unstim,0.0665
ncMC_p38_Unstim,0.0665
Granulocytes_Frequency_Unstim,0.066
pDC_STAT5_Unstim,0.0645
pDC_Frequency_Unstim,0.0645
Th1mem_NFkB_Unstim,0.064
Baso +++_S6_Unstim,0.0625
