,Max Proba
Treg_ERK_Unstim,0.9625
Tregmem_ERK_Unstim,0.9625
gdT_ERK_Unstim,0.508
CD8Trm_ERK_Unstim,0.505
Granulocytes_STAT3_Unstim,0.5025
ncMC_Frequency_Unstim,0.494
CD8Trm_pSTAT6_Unstim,0.4875
Th1_ERK_Unstim,0.483
Baso +++_S6_Unstim,0.466
NK-Tcells_pSTAT6_Unstim,0.4285
pDC_ERK_Unstim,0.4135
pDC_Frequency_Unstim,0.383
Baso_S6_Unstim,0.368
Eosino_S6_Unstim,0.3605
Th2_MAPKAPK2_Unstim,0.3525
Granulocytes_CREB_Unstim,0.352
Th1mem_STAT3_Unstim,0.3505
Baso_STAT5_Unstim,0.3495
CD8Tnaive_STAT3_Unstim,0.3485
Th1_S6_Unstim,0.347
Th1_STAT3_Unstim,0.3445
Baso_MAPKAPK2_Unstim,0.34
Th1mem_S6_Unstim,0.339
Bcells_Frequency_Unstim,0.328
Th1mem_ERK_Unstim,0.3265
Baso +++_STAT5_Unstim,0.3245
Tregnaive_MAPKAPK2_Unstim,0.31
intMC_Frequency_Unstim,0.2925
gdT_pSTAT6_Unstim,0.2805
gdT_Frequency_Unstim,0.277
CD8Trm_Frequency_Unstim,0.2755
CD4Trm_CREB_Unstim,0.274
Th1mem_STAT1_Unstim,0.2725
Th1mem_CREB_Unstim,0.2665
Th1_NFkB_Unstim,0.2645
Th1_IkB_Unstim,0.2615
NK-Tcells_CREB_Unstim,0.258
Th1mem_STAT5_Unstim,0.2535
mDC_Frequency_Unstim,0.252
Baso +++_MAPKAPK2_Unstim,0.25
CD8Tem_Frequency_Unstim,0.2415
CD4Tnaive_Frequency_Unstim,0.2415
gdT_IkB_Unstim,0.2405
CD8Tem_pSTAT6_Unstim,0.2385
Tregnaive_Frequency_Unstim,0.2365
Th1_CREB_Unstim,0.234
CD4Tcm_pSTAT6_Unstim,0.2325
ncMC_STAT3_Unstim,0.232
CD4Tem_Frequency_Unstim,0.2305
CD4Trm_IkB_Unstim,0.225
CD4Trm_Frequency_Unstim,0.2235
NK-Tcells_Frequency_Unstim,0.223
ncMC_S6_Unstim,0.2215
Th1_STAT5_Unstim,0.221
Bcells_S6_Unstim,0.2195
pDC_S6_Unstim,0.2185
CD4Tnaive_pSTAT6_Unstim,0.2175
Th1_Frequency_Unstim,0.2165
Th1_pSTAT6_Unstim,0.216
pDC_STAT5_Unstim,0.2085
Th1mem_MAPKAPK2_Unstim,0.207
CD4Trm_STAT5_Unstim,0.1995
CD56brightCD16neg-NK_Frequency_Unstim,0.1985
MDSC_Frequency_Unstim,0.197
MDSC_ERK_Unstim,0.197
CD8Tem_STAT5_Unstim,0.1965
NK-Tcells_NFkB_Unstim,0.195
CD56brightCD16neg-NK_ERK_Unstim,0.193
Th1_STAT1_Unstim,0.193
CD4Trm_pSTAT6_Unstim,0.188
Th2_Frequency_Unstim,0.187
CD8Tnaive_ERK_Unstim,0.185
Th1mem_Frequency_Unstim,0.182
Tregnaive_ERK_Unstim,0.1815
Th1mem_IkB_Unstim,0.179
CD4Tcm_ERK_Unstim,0.177
pDC_p38_Unstim,0.175
CD56brightCD16neg-NK_STAT5_Unstim,0.174
CD56brightCD16neg-NK_MAPKAPK2_Unstim,0.174
Th1_p38_Unstim,0.174
MDSC_MAPKAPK2_Unstim,0.172
Tregnaive_S6_Unstim,0.172
Tregnaive_NFkB_Unstim,0.172
CD8Tnaive_STAT5_Unstim,0.171
CD8Trm_MAPKAPK2_Unstim,0.1705
Th2_pSTAT6_Unstim,0.169
Th17_STAT5_Unstim,0.169
CD4Tnaive_STAT5_Unstim,0.1665
CD8Tcm_Frequency_Unstim,0.165
Tregnaive_STAT3_Unstim,0.16
Th1mem_pSTAT6_Unstim,0.1575
intMC_STAT3_Unstim,0.1565
cMC_ERK_Unstim,0.15
Eosino_Frequency_Unstim,0.15
Tregnaive_p38_Unstim,0.1495
CD56brightCD16neg-NK_CREB_Unstim,0.1495
cMC_CREB_Unstim,0.1485
Granulocytes_Frequency_Unstim,0.148
ncMC_ERK_Unstim,0.148
Tregmem_CREB_Unstim,0.1475
gdT_MAPKAPK2_Unstim,0.145
Th1mem_p38_Unstim,0.141
Tregnaive_STAT5_Unstim,0.141
MDSC_p38_Unstim,0.1405
pDC_IkB_Unstim,0.139
MDSC_CREB_Unstim,0.139
Th2_CREB_Unstim,0.1385
CD4Tem_STAT5_Unstim,0.1385
Th2_S6_Unstim,0.1355
gdT_CREB_Unstim,0.135
Th1mem_NFkB_Unstim,0.1335
Tregnaive_CREB_Unstim,0.133
CD4Trm_MAPKAPK2_Unstim,0.1315
mDC_p38_Unstim,0.1295
intMC_ERK_Unstim,0.1275
CD4Tcm_p38_Unstim,0.127
CD8Trm_NFkB_Unstim,0.1265
Eosino_pSTAT6_Unstim,0.126
cMC_p38_Unstim,0.126
CD4Tem_pSTAT6_Unstim,0.1235
Tregnaive_pSTAT6_Unstim,0.1235
CD8Tnaive_MAPKAPK2_Unstim,0.1225
Th2_STAT5_Unstim,0.1195
CD4Trm_ERK_Unstim,0.118
