,Max Proba
ncMC_Frequency_Unstim,0.9215
CD8Tnaive_STAT3_Unstim,0.8645
CD8Tcm_Frequency_Unstim,0.84
Tregnaive_STAT3_Unstim,0.8235
Th1naive_IkB_Unstim,0.7755
Th1naive_MAPKAPK2_Unstim,0.764
CD4Trm_STAT3_Unstim,0.7275
Th1naive_CREB_Unstim,0.6465
Th17_STAT3_Unstim,0.641
NK-Tcells_Frequency_Unstim,0.635
Th1naive_STAT3_Unstim,0.621
mDC_Frequency_Unstim,0.619
Th1_MAPKAPK2_Unstim,0.611
MDSC_Frequency_Unstim,0.6055
CD56dimCD16pos-NK_Frequency_Unstim,0.6045
Th1naive_STAT5_Unstim,0.603
Treg_Frequency_Unstim,0.5985
Tregmem_Frequency_Unstim,0.589
Baso +++_Frequency_Unstim,0.582
Th1_STAT3_Unstim,0.579
Granulocytes_Frequency_Unstim,0.5755
CD8Tem_Frequency_Unstim,0.5705
Th1naive_NFkB_Unstim,0.563
CD4Tem_Frequency_Unstim,0.5495
Th1naive_pSTAT6_Unstim,0.546
Th1naive_S6_Unstim,0.5405
CD8Tnaive_Frequency_Unstim,0.5375
Bcells_Frequency_Unstim,0.534
CD4Tnaive_Frequency_Unstim,0.525
Baso_Frequency_Unstim,0.5195
intMC_Frequency_Unstim,0.506
gdT_Frequency_Unstim,0.5025
CD4Tnaive_STAT3_Unstim,0.4805
Th1_IkB_Unstim,0.4735
CD4Tcm_STAT3_Unstim,0.459
Tregmem_STAT5_Unstim,0.45
Treg_STAT5_Unstim,0.449
Tregnaive_STAT5_Unstim,0.4435
Th17_Frequency_Unstim,0.4435
CD8Trm_Frequency_Unstim,0.4285
CD4Tcm_Frequency_Unstim,0.427
cMC_Frequency_Unstim,0.3335
CD4Trm_Frequency_Unstim,0.3245
